Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Beijing Weilan New Energy Technology,https://www.crunchbase.com/organization/beijing-weilan-new-energy-technology,"Beijing, Beijing, China",Beijing Weilan New Energy Technology is an enterprise company focusing on the development of next-generation all-solid-state batteries.,"Battery, Electronics, Energy, Manufacturing","31,318",,,5,Late Stage Venture,2022-11-04,1500000000,CNY,208765361,Series D,1500000000,CNY,208765361,2100000000,CNY,302669072,Series D,2100000000,CNY,302669072,"Shunwei Capital, Huawei Technologies, NIO Capital, Geely, IDG Capital",2016-01-01,year,Active
Locus Robotics,https://www.crunchbase.com/organization/locus-robotics,"Wilmington, Massachusetts, United States",Locus Robotics is a warehouse robotics company that manufactures autonomous mobile robots to support e-commerce.,"E-Commerce, Industrial Automation, Logistics, Robotics, Warehouse Automation, Warehousing","31,336",,,7,Late Stage Venture,2022-11-29,117000000,USD,117000000,Series F,117000000,USD,117000000,416000000,USD,416000000,Series F,416000000,USD,416000000,"Hercules Capital, Silicon Valley Bank, Goldman Sachs Asset Management, Bond, Scale Venture Partners",2014-01-01,year,Active
Helion Energy,https://www.crunchbase.com/organization/helion-energy,"Everett, Washington, United States","Helion Energy is a fusion power company developing the world's first fusion generators, enabling a future with unlimited clean energy.","Energy, Environmental Engineering, Renewable Energy","31,425",,,7,Late Stage Venture,2021-11-05,500000000,USD,500000000,Series E,500000000,USD,500000000,572759986,USD,572759986,Series E,577759986,USD,577759986,"Y Combinator, Capricorn Investment Group, ARPA-E, Mithril Capital Management, Sam Altman",2013-01-01,year,Active
Pony.ai,https://www.crunchbase.com/organization/pony-ai,"Fremont, California, United States",Pony.ai develops autonomous vehicle technology using artificial intelligence.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation","31,501",,,10,Late Stage Venture,2023-10-24,100000000,USD,100000000,Series D,100000000,USD,100000000,1332000000,USD,1332000000,Series D,1332000000,USD,1332000000,"Sequoia Capital, Toyota Motor, Sequoia Capital China, DCM Ventures, Eight Roads Ventures",2016-12-01,month,Active
Neon,https://www.crunchbase.com/organization/banco-neon,"São Paulo, Sao Paulo, Brazil","Neon is a digital bank that offers credit cards, personal loans, and investment products, among other services.","Banking, Credit, Financial Services, FinTech","31,584",,,6,Late Stage Venture,2022-02-14,1600000000,BRL,306777814,Series D,1600000000,BRL,306777814,727111737,USD,727111737,Series D,727111737,USD,727111737,"Omidyar Network, Flourish Ventures, PayPal Ventures, Vulcan Capital, Monashees",2016-01-01,year,Active
Matillion,https://www.crunchbase.com/organization/matillion,"Manchester, Manchester, United Kingdom","Matillion is The Data Productivity Cloud. Get data business-ready, faster — for insights, operational analytics, data science, ML and AI.","Analytics, Cloud Data Services, Data Integration, SaaS, Software","31,616",,,7,,2022-11-08,,,,Venture - Series Unknown,,,,290000000,USD,290000000,Venture - Series Unknown,290000000,USD,290000000,"Lightspeed Venture Partners, Scale Venture Partners, Sapphire Ventures, Databricks Ventures, General Atlantic",2011-01-01,month,Active
Xingji Meizu,https://www.crunchbase.com/organization/xingji-meizu,"Wuhan, Hubei, China",Xingji Meizu Group is a platform for full-stack smart terminal technologies that spans multiple industries.,Information Technology,"31,668",,,2,Early Stage Venture,2023-11-16,2000000000,CNY,276166804,Series A,2000000000,CNY,276166804,2000000000,CNY,276166805,Series A,2000000000,CNY,276166805,"Winreal Investment, Harvest Global Investments, QC Capital, Asia Investment Fund, Xingyuan Fund",2023-01-01,year,Active
Misfits Market,https://www.crunchbase.com/organization/misfits-market,"Clackamas, Oregon, United States",Misfits Market provides a subscription box service for organically sourced produce.,"E-Commerce, Food and Beverage, Grocery, Organic Food, Subscription Service","31,679",,,6,,2023-04-01,,,,Venture - Series Unknown,,,,526500000,USD,526500000,Venture - Series Unknown,526500000,USD,526500000,"Accel, Sprint Vc, Jon Oringer, Collide Capital, Blue Collective",2018-01-01,year,Active
Bluecore,https://www.crunchbase.com/organization/triggermail,"New York, New York, United States",Bluecore connect casual shoppers to the products.,"Advertising, Analytics, Artificial Intelligence (AI), E-Commerce, Marketing Automation, SaaS","31,800",,,7,Late Stage Venture,2021-08-05,125000000,USD,125000000,Series E,125000000,USD,125000000,238219452,USD,238219452,Series E,238219452,USD,238219452,"Techstars, Gaingels, Right Side Capital Management, Georgian, CSC Upshot",2013-01-01,year,Active
Augury,https://www.crunchbase.com/organization/augury-systems,"New York, New York, United States",Augury provides machine health diagnostics designed to help reduce downtime and increase supply chain resilience.,"Analytics, Artificial Intelligence (AI), Industrial Manufacturing, Machine Learning, Machinery Manufacturing","31,822",,,8,Late Stage Venture,2021-10-26,180000000,USD,180000000,Series E,180000000,USD,180000000,294000000,USD,294000000,Series E,294000000,USD,294000000,"Baker Hughes, Qualcomm Ventures, SE Ventures, Insight Partners, VentureOut",2011-08-01,month,Active
Dutchie,https://www.crunchbase.com/organization/dutchie,"Bend, Oregon, United States",Dutchie provides an all-in-one technology platform that powers dispensary operations.,"Cannabis, Consumer, Point of Sale, Software","31,867",,,5,Late Stage Venture,2021-10-14,350000000,USD,350000000,Series D,350000000,USD,350000000,603000000,USD,603000000,Series D,603000000,USD,603000000,"Thrive Capital, Dragoneer Investment Group, DFJ Growth, Vine Ventures, Tiger Global Management",2017-07-01,month,Active
Lionheart Studio,https://www.crunchbase.com/organization/lionheart-studio,"Seongnam, Kyonggi-do, South Korea",Lionheart is a developer of mobile and online games that specializes in multiplayer online role-playing games (MMORPGs).,"Gaming, MMO Games, Software","31,954",,,2,,2022-07-11,1200000000000,KRW,915185572,Secondary Market,9000000,USD,9000000,9000000,USD,9000000,Corporate Round,924185572,USD,924185572,"Kakao Games, Wemade",2017-01-01,year,Active
Raisin,https://www.crunchbase.com/organization/raisin-weltsparen,"Berlin, Berlin, Germany",Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach.,"Banking, Finance, Financial Services, FinTech, Marketplace","31,960",,,9,Late Stage Venture,2023-03-23,60000000,EUR,65007741,Series E,60000000,EUR,65007741,271015376,USD,271015376,Series E,304924869,USD,304924869,"Thrive Capital, Goldman Sachs, b2venture (formerly btov Partners), PayPal Ventures, FJ Labs",2012-01-01,year,Active
Plume Design,https://www.crunchbase.com/organization/plume-design-inc,"Palo Alto, California, United States",Plume is a SaaS platform that provides the delivery of technological services for connected homes.,"Network Hardware, SaaS, Smart Home, Wireless","32,025",,,7,Late Stage Venture,2021-10-12,300000000,USD,300000000,Series F,300000000,USD,300000000,697357341,USD,697357341,Series F,722357341,USD,722357341,"Charter Communications, Qualcomm, Comcast, Silicon Valley Bank, Samsung Ventures",2015-01-01,year,Active
KoBold Metals,https://www.crunchbase.com/organization/kobold-metals,"Berkeley, California, United States",KoBold Metals is a developer of machine prospector technology that facilitates a search for cobalt ore locations digitally.,"Machine Learning, Mineral, Mining, Software","32,035",,,3,Early Stage Venture,2023-06-20,195000000,USD,195000000,Series B,195000000,USD,195000000,407500000,USD,407500000,Series B,407500000,USD,407500000,"BHP, Andreessen Horowitz, Breakthrough Energy Ventures, T. Rowe Price, Apollo Projects",2018-01-01,year,Active
Phantom,https://www.crunchbase.com/organization/phantom-3171,"San Francisco, California, United States",The friendly crypto wallet built for DeFi & NFTs.,"Bitcoin, Cryptocurrency, Ethereum, FinTech","32,110",,,2,Early Stage Venture,2022-01-31,109000000,USD,109000000,Series B,109000000,USD,109000000,118000000,USD,118000000,Series B,118000000,USD,118000000,"Andreessen Horowitz, Variant, Solana Ventures, Alliance DAO, Garry Tan",2021-03-01,month,Active
Sorare,https://www.crunchbase.com/organization/sorare,"Paris, Ile-de-France, France","Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer","32,111",,,4,Early Stage Venture,2021-09-20,680000000,USD,680000000,Series B,680000000,USD,680000000,739245791,USD,739245791,Series B,739245791,USD,739245791,"SoftBank, Eurazeo, Seedcamp, Kima Ventures, Tiny VC",2018-12-01,day,Active
Staffbase,https://www.crunchbase.com/organization/staffbase,"Chemnitz, Sachsen, Germany","Staffbase is a high-growth, deeply experienced employee communications platform provider for enterprise companies","Enterprise Software, Mobile Apps, SaaS, Software","32,124",,,7,Late Stage Venture,2022-03-15,115000000,USD,115000000,Series E,115000000,USD,115000000,305827764,USD,305827764,Series E,305827764,USD,305827764,"Insight Partners, General Atlantic, Capnamic Ventures, Headline, IRIS",2014-11-01,month,Active
Mythical Games,https://www.crunchbase.com/organization/mythical-games,"Sherman Oaks, California, United States",Mythical Games is a video game engine for player-owned economies.,"Apps, Blockchain, Gaming, Video Games","32,132",,,8,Late Stage Venture,2023-06-27,37000000,USD,37000000,Series C,37000000,USD,37000000,297000000,USD,297000000,Series C,297000000,USD,297000000,"Hashed, Animoca Brands, Alumni Ventures, Andreessen Horowitz, Gaingels",2018-04-01,month,Active
InVision,https://www.crunchbase.com/organization/invisionapp,"New York, New York, United States",InVision is the visual collaboration platform powering the world’s smartest companies.,"Apps, Collaboration, Internet, Mobile, Product Design, SaaS, Software, UX Design","32,199",,,10,Late Stage Venture,2020-12-28,,,,Secondary Market,115000000,USD,115000000,349100000,USD,349100000,Series F,356200000,USD,356200000,"Goldman Sachs, ICONIQ Growth, Atlassian, Raison, Silicon Valley Bank",2011-01-01,year,Active
Unisound,https://www.crunchbase.com/organization/unisound-beijing,"Beijing, Beijing, China",Beijing Yunzhisheng Information Technology is a mobile internet startup focused on intelligent voice and speech processing technologies.,"Cloud Data Services, Natural Language Processing, Speech Recognition","32,207",,,10,Late Stage Venture,2021-04-17,60000000,USD,60000000,Series D,60000000,USD,60000000,361442496,USD,361442496,Series D,361442496,USD,361442496,"CICC, Qihoo 360 Technology, Qiming Venture Partners, Qualcomm Ventures, Wellspring Capital Management",2012-01-01,year,Active
JUUL,https://www.crunchbase.com/organization/juul,"San Francisco, California, United States",JUUL is a manufacturer and distributor of electronic nicotine vaporizers.,"B2C, Consumer Electronics, Consumer Goods","32,260",,,10,,2023-11-09,1269999997,USD,1269999997,Venture - Series Unknown,1269999997,USD,1269999997,14821699992,USD,14821699992,Venture - Series Unknown,16439932803,USD,16439932803,"Fidelity, M13, Bracket Capital, Manhattan Venture Partners, Tiger Global Management",2015-01-01,year,Active
Bowery Farming,https://www.crunchbase.com/organization/bowery-farming-inc,"New York, New York, United States","Bowery Farming uses vision systems, automation technology, and machine learning to monitor plants and their growth.","Agriculture, Farming, Machine Learning, Organic Food","32,312",,,8,,2022-02-25,8400500,USD,8400500,Venture - Series Unknown,8400500,USD,8400500,475900500,USD,475900500,Venture - Series Unknown,625900500,USD,625900500,"Notable Capital, Fidelity, Gaingels, General Catalyst, Google Ventures",2015-01-01,year,Active
Perfios Software Solutions,https://www.crunchbase.com/organization/perfios-software-solutions-pvt-ltd,"Bangalore, Karnataka, India","Perfios Software Solutions is a B2B fintech software company that offers credit decisions, analytics, and onboarding automation services.","B2B, Financial Services, FinTech, InsurTech, Software","32,348",,,7,Late Stage Venture,2024-03-13,6630000000,INR,80040316,Series D,6630000000,INR,80040316,435140316,USD,435140316,Series D,441216636,USD,441216636,"Warburg Pincus, Stride Ventures, Bessemer Venture Partners, Kedaara Capital, Teachers’ Venture Growth",2008-01-01,year,Active
AgentSync,https://www.crunchbase.com/organization/agentsync,"Denver, Colorado, United States","AgentSync builds insurance infrastructure that connects carriers, agencies, MGAs, and producers.","Compliance, Information Technology, Insurance, InsurTech, Software","32,352",,,5,Early Stage Venture,2023-10-26,50000000,USD,50000000,Series B,50000000,USD,50000000,161100000,USD,161100000,Series B,161100000,USD,161100000,"Caffeinated Capital, Tiger Global Management, Jack Altman, Marc Benioff, Atreides Management",2018-10-09,day,Active
Cirkul,https://www.crunchbase.com/organization/cirkul,"Tampa, Florida, United States",Cirkul is a beverage company that makes drinking water with delicious and nutritious flavors.,"Consumer Goods, Food and Beverage, Water","32,377",,,4,Late Stage Venture,2022-06-13,70000000,USD,70000000,Series C,70000000,USD,70000000,111565262,USD,111565262,Series C,111565262,USD,111565262,"Shane Neman, AF Ventures, SC.Holdings, Proton Enterprises, Heights",2015-10-28,day,Active
Zongmu,https://www.crunchbase.com/organization/zongmu,"Shanghai, Shanghai, China",Zongmu Technology is a Chinese self-driving tech firm.,"Automotive, Autonomous Vehicles, Robotics","32,452",,,5,Late Stage Venture,2022-03-28,1000000000,CNY,156931671,Series E,1000000000,CNY,156931671,375985806,USD,375985806,Series E,375985806,USD,375985806,"Denso, Qualcomm Ventures, Cowin Capital, Legend Capital, Changan Automobile",2013-01-01,month,Active
YinLong Group,https://www.crunchbase.com/organization/yinlong-group,"Zhuhai, Guangdong, China","YinLong Group manufactures and supplies lithium batteries, materials, power supply, and electric vehicles for public transportation.","Automotive, Battery, Energy, Manufacturing, Public Transportation","32,455",,,1,,2016-12-17,432000000,USD,432000000,Undisclosed,432000000,USD,432000000,432000000,USD,432000000,Undisclosed,432000000,USD,432000000,"JD.com, WANDA Group",2008-01-01,year,Active
Loft,https://www.crunchbase.com/organization/loft-br,"São Paulo, Sao Paulo, Brazil",Loft is a marketplace for residential real estate that helps manage the home buying and selling process.,"Marketplace, Property Management, Real Estate","32,456",,,7,,2023-08-08,100000000,USD,100000000,Venture - Series Unknown,100000000,USD,100000000,888000000,USD,888000000,Venture - Series Unknown,888000000,USD,888000000,"Silver Lake, Google for Startups, Andreessen Horowitz, Thrive Capital, Fifth Wall",2018-01-01,year,Active
Letu,https://www.crunchbase.com/organization/letu-8e7a,"Shenzhen, Guangdong, China",Letu is an innovative drug R&D manufacturer that is constructing a precision medical industry ecosystem.,"Biopharma, Biotechnology, Medical","32,541",,,2,Early Stage Venture,2023-10-29,,,,Series B,,,,200000000,CNY,30367446,Series B,200000000,CNY,30367446,CICC Capital,2016-07-01,month,Active
Verily,https://www.crunchbase.com/organization/verily-2,"South San Francisco, California, United States","Verily is an Alphabet health tech company focused on research, care, and health financing to deliver on the promise of precision health.","Analytics, Enterprise Software, Health Care, Information Technology","32,549",,,5,,2022-09-28,,,,Secondary Market,1000000000,USD,1000000000,3500000000,USD,3500000000,Corporate Round,3500000000,USD,3500000000,"Silver Lake, Google, Alphabet, Temasek Holdings, Ontario Teachers' Pension Plan",2015-01-01,year,Active
REEF,https://www.crunchbase.com/organization/reef-technology,"Miami, Florida, United States",REEF Technology is a company that transforms urban real estate such as parking facilities into thriving mobility and logistical hubs.,"Apps, E-Commerce Platforms, Food Delivery, Last Mile Transportation, Parking","32,579",,,3,Private Equity,2020-11-03,700000000,USD,700000000,Private Equity,700000000,USD,700000000,1501900000,USD,1501900000,Private Equity,1501900000,USD,1501900000,"SoftBank, Target Global, Oaktree Capital Management, Mubadala Capital Ventures, SoftBank Vision Fund",2013-01-01,year,Active
Helium,https://www.crunchbase.com/organization/helium-systems-inc,"San Francisco, California, United States",Helium is an internet-of-things developer platform for building the network and transferring IoT device data.,"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless","32,595",,,10,Late Stage Venture,2022-02-19,200000000,USD,200000000,Series D,200000000,USD,200000000,364800000,USD,364800000,Series D,364800000,USD,364800000,"Alumni Ventures, Andreessen Horowitz, Liberty Global, Google Ventures, Union Square Ventures",2013-07-01,day,Active
Volocopter,https://www.crunchbase.com/organization/volocopter,"Bruchsal, Baden-Wurttemberg, Germany",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,"Aerospace, Air Transportation, Drones, Robotics, Transportation","32,620",,,8,Late Stage Venture,2022-11-01,182000000,USD,182000000,Series E,182000000,USD,182000000,780581645,USD,780581645,Series E,780581645,USD,780581645,"Intel, Mercedes-Benz Group AG, SITA, BlackRock, Continental",2011-01-01,year,Active
Mirakl,https://www.crunchbase.com/organization/mirakl,"Paris, Ile-de-France, France",Mirakl is a SaaS solution that helps enterprises manage their marketplace and drop-ship business.,"E-Commerce, Enterprise Software, Marketplace, SaaS","32,715",,,6,Late Stage Venture,2023-08-01,100000000,EUR,110076998,Debt Financing,555000000,USD,555000000,948000000,USD,948000000,Series E,1058076999,USD,1058076999,"Silver Lake, Societe Generale, HSBC, Bain Capital Ventures, BNP Paribas",2011-01-01,year,Active
Guideline,https://www.crunchbase.com/organization/guideline-technologies-inc,"San Mateo, California, United States",Guideline is a retirement plan platform that offers the all-inclusive 401(k) and full-stack solution for growing businesses.,"Finance, Financial Services, FinTech, Insurance","32,730",,,6,Late Stage Venture,2021-06-16,200000000,USD,200000000,Series E,200000000,USD,200000000,339000000,USD,339000000,Series E,339000000,USD,339000000,"Future Planet Capital, Gaingels, 500 Global, Generation Investment Management, Evolution VC Partners",2015-01-01,year,Active
Lusha,https://www.crunchbase.com/organization/lusha,"New York, New York, United States","Lusha is a crowdsourced data platform for B2B sales and marketing that connects sales, business development, and HR professionals.","B2B, Big Data, Database, Information Technology, Recruiting, Sales Automation, Software","32,809",,,2,Private Equity,2021-11-10,205000000,USD,205000000,Private Equity,205000000,USD,205000000,245000000,USD,245000000,Private Equity,245000000,USD,245000000,"PSG Equity, ION Crossover Partners",2016-03-01,day,Active
Carousell,https://www.crunchbase.com/organization/carousell,"Singapore, Central Region, Singapore",Carousell is a classifieds marketplace that allows people to buy and sell preloved items.,"Classifieds, Consumer Goods, E-Commerce, Marketplace, Mobile Apps, Secondhand Goods","32,855",,,14,,2023-09-04,2800000,USD,2800000,Venture - Series Unknown,2800000,USD,2800000,375405199,USD,375405199,Venture - Series Unknown,375405199,USD,375405199,"Naver, DBS Bank, 500 Global, GoTo Group, Rakuten",2012-01-01,year,Active
Amber Group,https://www.crunchbase.com/organization/amber-ai,"Singapore, Central Region, Singapore","Amber Group is a crypto finance service provider that provides liquidity provision, trading, and asset management services.","Cryptocurrency, Financial Services, FinTech, Information Technology, Trading Platform","32,873",,,4,Late Stage Venture,2022-12-15,300000000,USD,300000000,Series C,300000000,USD,300000000,628000000,USD,628000000,Series C,628000000,USD,628000000,"Polychain, Sequoia Capital China, Tiger Brokers, Dragonfly, DCM Ventures",2017-01-01,year,Active
Xpressbees,https://www.crunchbase.com/organization/xpressbees,"Pune, Maharashtra, India",Xpressbees is a logistics company that offers customized express delivery services.,"Delivery Service, E-Commerce, Logistics, Supply Chain Management","32,887",,,11,Late Stage Venture,2023-11-06,80000000,USD,80000000,Series G,80000000,USD,80000000,552657516,USD,552657516,Series G,622390664,USD,622390664,"Alibaba Group, Investcorp, Vertex Ventures, Avendus Future Leaders, Chrys Capital",2015-09-01,month,Active
Forto,https://www.crunchbase.com/organization/forto,"Berlin, Berlin, Germany",Forto is a digital freight forwarder and shipping management platform that specializes in freight forwarding.,"Freight Service, Logistics, Shipping, Software, Supply Chain Management","32,889",,,6,Late Stage Venture,2022-03-07,250000000,USD,250000000,Series D,250000000,USD,250000000,593383184,USD,593383184,Series D,593383184,USD,593383184,"La Famiglia, Citi Ventures, G Squared, Global Founders Capital, IRIS",2016-01-01,year,Active
Workrise,https://www.crunchbase.com/organization/rigup,"Austin, Texas, United States",Workrise is an employment agency for the energy industry.,"Billing, Compliance, Employment, Human Resources, Marketplace, Online Portals","32,924",,,8,Late Stage Venture,2021-05-20,300000000,USD,300000000,Series E,300000000,USD,300000000,722499542,USD,722499542,Series E,752499542,USD,752499542,"Andreessen Horowitz, Franklin Templeton, Founders Fund, Silicon Valley Bank, Baillie Gifford",2014-01-01,year,Active
Movable Ink,https://www.crunchbase.com/organization/movableink,"New York, New York, United States",Movable Ink activates any data into personalized content in any customer engagement.,"Content Marketing, Email Marketing, Personalization, Real Time, SaaS","33,072",,,5,Late Stage Venture,2022-04-28,55000000,USD,55000000,Series D,55000000,USD,55000000,97290000,USD,97290000,Series D,97290000,USD,97290000,"Silver Lake, Kima Ventures, Silicon Valley Bank, Compound, Capital Factory",2010-10-01,day,Active
Zhenkunxing,https://www.crunchbase.com/organization/zhenkunxing,"Shanghai, Shanghai, China",Zhenkunxing is an industrial supplies service platform for the manufacturing industry.,"Industrial, Manufacturing","33,081",,,8,,2022-06-15,300000000,USD,300000000,Venture - Series Unknown,300000000,USD,300000000,999302008,USD,999302008,Venture - Series Unknown,999302008,USD,999302008,"Tencent, Shell Global, GLP, Cowin Capital, Legend Capital",1998-01-01,day,Active
Caocao Chuxing,https://www.crunchbase.com/organization/caocao-zhuanche,"Hangzhou, Zhejiang, China",Caocao Chuxing is a Chinese vehicle sharing company.,"Energy, Mobile Apps, Recreational Vehicles, Ride Sharing, Transportation","33,168",,,4,Early Stage Venture,2021-09-06,3800000000,CNY,588399244,Series B,3800000000,CNY,588399244,4800000000,CNY,743828384,Series B,4800000000,CNY,743828384,"Geely, ZSVC, Suzhou Xiangcheng Financial Holding Group, Zhejiang Silicon Paradise Asset Management Group, Suzhou Innovation Capital",2015-01-01,year,Active
Qdama,https://www.crunchbase.com/organization/qiandama,"Guangzhou, Guangdong, China",Qdama is a fresh agricultural product service provider that focuses on the operation of the fresh meat market.,"Agriculture, Food and Beverage, Retail","33,180",,,5,Late Stage Venture,2022-07-27,,,,Series D,,,,142000000,USD,142000000,Series D,142000000,USD,142000000,"Gaorong Capital, Co-Stone Venture Capital, GenBridge Capital, Lighthouse Capital Management, Hejun Capital",2012-01-01,year,Active
Resilience,https://www.crunchbase.com/organization/resilience-e701,"La Jolla, California, United States",Resilience provides end-to-end biopharmaceutical manufacturing and development solutions.,"Biopharma, Biotechnology, Health Care, Life Science, Pharmaceutical","33,208",,,7,Private Equity,2023-03-24,410000000,USD,410000000,Debt Financing,,,,2105000000,USD,2105000000,Private Equity,2515000000,USD,2515000000,"Mubadala, Google Ventures, U.S. International Development Finance Corp, U.S. Department of Defense, New Enterprise Associates",2020-01-01,year,Active
Wasabi Technologies,https://www.crunchbase.com/organization/wasabi-technologies-inc,"Boston, Massachusetts, United States",Wasabi is a cloud storage company delivering cost effective and secure cloud storage solutions.,"Cloud Computing, Cloud Data Services, Cloud Storage, Database, Information Technology","33,223",,,14,Late Stage Venture,2022-12-07,15000000,USD,15000000,Series D,15000000,USD,15000000,396636649,USD,396636649,Series D,549136649,USD,549136649,"Fidelity, Alumni Ventures, Sidecar Angels, NTT DOCOMO Ventures, Prosperity7 Ventures",2015-01-01,year,Active
Bianlifeng,https://www.crunchbase.com/organization/bianlifeng,"Beijing, Beijing, China",Bianlifeng is a cashier-free convenience store and smart snack machine operator,"Consumer, Retail, Snack Food","33,289",,,3,,2020-05-26,100000000,USD,100000000,Venture - Series Unknown,100000000,USD,100000000,656000000,USD,656000000,Venture - Series Unknown,656000000,USD,656000000,"Tencent, Hillhouse Investment, Zebra Global Capital",2016-01-01,year,Active
GalaxySpace,https://www.crunchbase.com/organization/galaxy-space,"Beijing, Beijing, China",GalaxySpace is a manufacturer of micro-satellites.,Satellite Communication,"33,296",,,5,Late Stage Venture,2022-09-07,,,,Series D,,,,14480000,USD,14480000,Series D,14480000,USD,14480000,"CICC, Gaorong Capital, Shunwei Capital, Legend Capital, Source Code Capital",2016-01-01,year,Active
DispatchHealth,https://www.crunchbase.com/organization/dispatchhealth,"Denver, Colorado, United States","DispatchHealth is a mobile and virtual healthcare that provides virtual medicine, modern house call, and health information technology.","Health Care, Home Health Care, InsurTech, Medical, mHealth","33,300",,,7,Late Stage Venture,2022-11-15,330000000,USD,330000000,Series E,330000000,USD,330000000,733200000,USD,733200000,Series E,733200000,USD,733200000,"Humana, US Acute Care Solutions, Adams Street Partners, Silicon Valley Bank, K2 HealthVentures",2013-01-01,year,Active
Kr Space,https://www.crunchbase.com/organization/kr-space,"Beijing, Beijing, China",Kr Space is the largest co-working space company in China.,"Coworking, Internet","33,338",,,6,Late Stage Venture,2019-03-15,145000000,USD,145000000,Series C,145000000,USD,145000000,482197558,USD,482197558,Series C,482197558,USD,482197558,"IDG Capital, Gobi Partners, Gopher Asset Management, China Minsheng Investment Group, UnityVC",2016-01-01,year,Active
Genies,https://www.crunchbase.com/organization/blend-systems,"Los Angeles, California, United States",Genies is an avatar technology company that builds avatars for people and communities.,"Apps, Augmented Reality, Blockchain, Internet, Media and Entertainment, Mobile Apps, Social Network","33,358",,,12,Late Stage Venture,2022-04-12,150000000,USD,150000000,Series C,150000000,USD,150000000,266964358,USD,266964358,Series C,266964358,USD,266964358,"Silver Lake, Gaingels, Polychain, Foundation Capital, Dapper Labs",2013-01-01,year,Active
UPSIDE Foods,https://www.crunchbase.com/organization/upside-foods,"Berkeley, California, United States",UPSIDE Foods is a food tech company that produces and grows sustainable cultured meat.,"Alternative Protein, Food and Beverage, Food Processing, Meat and Poultry, Organic Food, Sustainability","33,425",,,8,Late Stage Venture,2023-06-21,,,,Grant,400000000,USD,400000000,598000000,USD,598000000,Series C,598000000,USD,598000000,"Tyson Foods, IndieBio, Cargill, Cercano Management, Fifty Years",2015-08-01,month,Active
Electric,https://www.crunchbase.com/organization/electric,"New York, New York, United States",Electric manages IT and real-time IT support for the team through a centralized SaaS app.,"Information Technology, Network Security, SaaS, Technical Support","33,470",,,9,Late Stage Venture,2022-03-29,23350001,USD,23350001,Series D,23350001,USD,23350001,212100001,USD,212100001,Series D,212100001,USD,212100001,"Notable Capital, Slack, Primary Venture Partners, Everywhere Ventures (The Fund), Bowery Capital",2016-09-01,day,Active
Weidian Group,https://www.crunchbase.com/organization/koudai,"Beijing, Beijing, China","Weidian Group offers tools and capabilities that allow users to create online stores, sell products, and manage orders.","E-Commerce, Fashion, Mobile, Shopping","33,471",,,6,Late Stage Venture,2014-10-23,350000000,USD,350000000,Series C,350000000,USD,350000000,368000000,USD,368000000,Series C,368000000,USD,368000000,"Tencent, Warburg Pincus, New Enterprise Associates, Matrix Partners China, Glade Brook Capital Partners",2010-01-01,year,Active
Spinny,https://www.crunchbase.com/organization/spinny,"Gurgaon, Haryana, India",Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Automotive, E-Commerce, Trading Platform","33,639",,,9,,2021-12-14,,,,Venture - Series Unknown,,,,476470045,USD,476470045,Venture - Series Unknown,513470045,USD,513470045,"General Catalyst, Blume Ventures, KB Financial Group, Kaiser Permanente, Elevation Capital",2015-01-01,year,Active
Chinac.com,https://www.crunchbase.com/organization/chinac-com,"Wuxi, Anhui, China",Chinac.com is a Chinese domestic cloud computing infrastructure operator that provides IT solutions and outsourcing services.,"Cloud Computing, Cloud Data Services, Consulting, Enterprise, Enterprise Software, SaaS, Software, Web Design","33,719",,,6,Late Stage Venture,2018-06-11,1000000000,CNY,156200406,Series E,1000000000,CNY,156200406,378617691,USD,378617691,Series E,378617691,USD,378617691,"Intel Capital, SIG China (SIG Asia Investments), Lotus Lake Ventures, Haitong Capital, GF Securities",2010-01-01,month,Active
Backbase,https://www.crunchbase.com/organization/backbase,"Amsterdam, Noord-Holland, The Netherlands",Backbase empowers financial institutions to accelerate their digital transformation and effectively compete in a digital-first world.,"Banking, Developer Tools, Enterprise Software, Financial Services, FinTech, Mobile Apps, SaaS, Software","33,730",,,1,Private Equity,2022-06-08,120000000,EUR,128603441,Private Equity,120000000,EUR,128603441,120000000,EUR,128603442,Private Equity,120000000,EUR,128603442,Motive Partners,2003-07-01,day,Active
