Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Alibaba Bendi Shenghuo Fuwu Gongsi,https://www.crunchbase.com/organization/alibaba-bendi-shenghuo-fuwu-gonsi,"Beijing, Beijing, China",Alibaba Bendi Shenghuo Fuwu Gonsi focuses on on-demand online services. It's the holding company for Ele.me and Koubei.,"Customer Service, Delivery Service, E-Commerce, Food Delivery, Restaurants, Service Industry","43,568",,,1,Private Equity,2018-11-08,4000000000,USD,4000000000,Private Equity,4000000000,USD,4000000000,4000000000,USD,4000000000,Private Equity,4000000000,USD,4000000000,"Alibaba Group, Ant Group, Primavera Capital Group, SoftBank Vision Fund",2018-10-12,day,Active
SellerX,https://www.crunchbase.com/organization/sellerx,"Berlin, Berlin, Germany","SellerX buys and builds Amazon businesses, helping entrepreneurs realise the next stage of their businesses, and their lives.","Brand Marketing, Consumer Goods, E-Commerce","43,944",,,6,,2023-05-31,60000000,EUR,64167691,Venture - Series Unknown,60000000,EUR,64167691,829867630,USD,829867630,Venture - Series Unknown,829867630,USD,829867630,"BlackRock, L Catterton, TriplePoint Capital, Sofina, Abu Dhabi Investment Authority",2020-01-01,year,Active
Yunyinggu,https://www.crunchbase.com/organization/shenzhen-yunyingu-technology,"Shanghai, Shanghai, China",Yunyinggu is a Chinese company dedicated to developing and promoting new display technologies.,"Electronics, Lighting, Manufacturing","43,972",,,6,,2022-12-01,22000000,USD,22000000,Venture - Series Unknown,22000000,USD,22000000,121127124,USD,121127124,Venture - Series Unknown,121127124,USD,121127124,"Sequoia Capital China, Qualcomm, Vertex Ventures, Qiming Venture Partners, Qualcomm Ventures",2012-01-01,year,Active
Xreal,https://www.crunchbase.com/organization/nreal-ai,"Beijing, Beijing, China",Xreal is a developer of lightweight and comfortable mixed reality glasses.,"Augmented Reality, Information Technology, Virtual Reality, Wearables","44,000",,,9,,2024-01-29,60000000,USD,60000000,Venture - Series Unknown,60000000,USD,60000000,306000000,USD,306000000,Venture - Series Unknown,306000000,USD,306000000,"Alibaba Group, Kuaishou Technology, iQiyi, CICC, Sequoia Capital China",2017-01-01,month,Active
Orna Therapeutics,https://www.crunchbase.com/organization/orna-therapeutics,"Cambridge, Massachusetts, United States",Orna Therapeutics is a biotechnology company that specializes in fully engineered circular RNA therapeutics to treat various diseases.,"Biotechnology, Medical, Pharmaceutical, Therapeutics","44,364",,,3,Early Stage Venture,2022-08-16,221000000,USD,221000000,Series B,221000000,USD,221000000,321000000,USD,321000000,Series B,321000000,USD,321000000,"Bristol-Myers Squibb, Kite Pharma, Merck, MPM Capital, The Pags Group",2019-01-01,year,Active
JIANGXIAOBAI,https://www.crunchbase.com/organization/jiangxiaobai,"Chongqing, Heilongjiang, China","Jiangxiaobai is the simplest, lightest and purest sorghum spirit.","Food and Beverage, Wine And Spirits","44,623",,,5,Early Stage Venture,2022-10-20,1000000000,CNY,138565569,Series B,1000000000,CNY,138565569,452915569,USD,452915569,Series B,452915569,USD,452915569,"Sequoia Capital China, Baillie Gifford, Hillhouse Investment, IDG Capital, China Merchants Bank",2011-01-01,year,Active
Qingju,https://www.crunchbase.com/organization/qingju,"Chengdu, Sichuan, China",Qingju is a company that provides bike-sharing platforms and services.,"Electric Vehicle, Product Design, Ride Sharing, Transportation","44,668",,,3,Early Stage Venture,2021-02-19,600000000,USD,600000000,Series B,600000000,USD,600000000,1600000000,USD,1600000000,Series B,2000000000,USD,2000000000,"Didi, Legend Capital, SoftBank Capital",2018-01-01,year,Active
Flipdish,https://www.crunchbase.com/organization/flipdish,"Sandyford, Dublin, Ireland","Flipdish helps on-demand food businesses create branded food ordering systems, websites, and apps.","Brand Marketing, E-Commerce, Food and Beverage, Food Delivery, Mobile Apps","44,695",,,6,Late Stage Venture,2022-01-13,100000000,USD,100000000,Series C,100000000,USD,100000000,157083919,USD,157083919,Series C,157083919,USD,157083919,"Tencent, Enterprise Ireland, Tiger Global Management, Global Founders Capital, Elkstone Capital Partners",2015-01-23,day,Active
Luoji Siwei,https://www.crunchbase.com/organization/luoji-siwei,"Beijing, Beijing, China","Luoji Siwei, a China-based talk show, provides a mobile app which allows users to subscribe to learn from key opinion leaders (KOLs)","Apps, Broadcasting, Mobile Apps","44,918",,,5,Late Stage Venture,2017-07-19,960000000,CNY,142175883,Series C,960000000,CNY,142175883,973200000,CNY,144180957,Series C,973200000,CNY,144180957,"Tencent, Sequoia Capital China, Qiming Venture Partners, Shunwei Capital, ZhenFund",2012-01-01,year,Active
Digit Insurance,https://www.crunchbase.com/organization/digit-insurance,"Bengaluru, Karnataka, India",Digit Insurance is a financial services company that provides general insurance services.,"Finance, Financial Services, Insurance, InsurTech","44,986",,,9,,2022-05-04,4170000000,INR,54867121,Venture - Series Unknown,4170000000,INR,54867121,585617180,USD,585617180,Venture - Series Unknown,585617180,USD,585617180,"IIFL Finance, Fairfax Financial Holdings, Wellington Management, Peak XV Partners, 360 ONE Asset",2016-01-01,year,Active
